",appid,english,required_age,achievements,positive_ratings,negative_ratings,average_playtime,median_playtime,price"
"0,10,1,0,0,124534.0,3339,17612,317,7.19"
"1,20,1,0,0,3318.0,633,277,62,3.99"
"2,30,1,0,0,3416.0,398,187,34,3.99"
"3,40,1,0,0,1273.0,267,258,184,3.99"
"4,50,1,0,0,5250.0,288,624,415,3.99"
"5,60,1,0,0,2758.0,684,175,10,3.99"
"6,70,1,0,0,27755.0,1100,1300,83,7.19"
"7,80,1,0,0,12120.0,1439,427,43,7.19"
"8,130,1,0,0,3822.0,420,361,205,3.99"
"9,220,1,0,33,67902.0,2419,691,402,7.19"
"10,240,1,0,147,76640.0,3497,6842,400,7.19"
"11,280,1,0,0,3767.0,1053,190,214,0.0"
"12,300,1,0,54,10489.0,1210,1356,134,7.19"
"13,320,1,0,0,6020.0,787,311,32,3.99"
"14,340,1,0,0,5783.0,1020,46,29,0.0"
"15,360,1,0,0,1362.0,473,102,81,0.0"
"16,380,1,0,13,7908.0,517,281,184,5.79"
"17,400,1,0,15,51801.0,1080,288,137,7.19"
"18,420,1,0,22,13902.0,696,354,301,5.79"
"19,440,1,0,520,515879.0,34036,8495,623,0.0"
"20,500,1,0,73,17951.0,948,897,278,7.19"
"21,550,1,0,70,251789.0,8418,1615,566,7.19"
"22,570,1,0,0,863507.0,142079,23944,801,0.0"
"23,620,1,0,51,138220.0,1891,1102,520,7.19"
"24,630,1,0,66,17435.0,941,371,83,0.0"
"25,730,1,0,167,2644404.0,402313,22494,6502,0.0"
"26,1002,1,0,0,40.0,17,0,0,5.99"
"27,1200,1,0,44,1562.0,223,232,258,3.99"
"28,1250,1,0,285,53710.0,2649,1328,306,14.99"
"29,1300,1,0,0,468.0,61,0,0,7.19"
"30,1500,1,0,0,472.0,158,182,273,7.19"
"31,1510,1,0,0,1602.0,152,65,77,6.99"
"32,1520,1,0,22,2057.0,344,80,119,7.19"
"33,1530,1,0,12,368.0,75,121,224,7.19"
"34,1600,1,0,0,140.0,44,0,0,22.99"
"35,1610,1,0,0,112.0,26,0,0,6.99"
"36,1630,1,0,0,451.0,108,0,0,4.99"
"37,1640,1,0,0,490.0,152,9,12,4.99"
"38,1670,1,0,0,137.0,102,0,0,3.99"
"39,1690,1,0,0,191.0,85,35,35,10.99"
"40,1700,1,0,0,671.0,106,11,21,2.99"
"41,1840,1,0,0,15083.0,1111,239,77,0.0"
"42,1900,1,0,0,498.0,238,405,414,3.99"
"43,1930,1,0,0,2656.0,1055,484,422,6.99"
"44,2100,1,0,0,4386.0,316,634,700,4.29"
"45,2200,1,0,0,1362.0,66,123,103,12.99"
"46,2210,1,18,0,891.0,171,36,32,12.99"
"47,2270,1,0,0,1773.0,87,69,110,2.99"
"48,2280,1,0,0,3705.0,257,125,179,3.99"
"49,2290,1,0,0,573.0,82,120,114,3.99"
"50,2300,1,0,0,2517.0,182,90,78,3.99"
"51,2310,1,0,0,2618.0,136,167,189,3.99"
"52,2320,1,0,0,1369.0,107,291,349,3.99"
"53,2330,1,0,0,65.0,12,32,32,2.49"
"54,2340,1,0,0,54.0,33,1,1,2.49"
